"f_9","Points:0","Points:1","Points:2"
300.11,0.9375,0.59375,0
300.11,0.96875,0.59375,0
300.11,1,0.59375,0
300.17,0,0.625,0
300.17,0.03125,0.625,0
300.17,0.0625,0.625,0
300.17,0.09375,0.625,0
300.16,0.125,0.625,0
300.16,0.15625,0.625,0
300.16,0.1875,0.625,0
300.16,0.21875,0.625,0
300.15,0.25,0.625,0
300.15,0.28125,0.625,0
300.15,0.3125,0.625,0
300.15,0.34375,0.625,0
300.14,0.375,0.625,0
300.14,0.40625,0.625,0
300.14,0.4375,0.625,0
300.13,0.46875,0.625,0
300.13,0.5,0.625,0
300.13,0.53125,0.625,0
300.13,0.5625,0.625,0
300.13,0.59375,0.625,0
300.12,0.625,0.625,0
300.12,0.65625,0.625,0
300.12,0.6875,0.625,0
300.12,0.71875,0.625,0
300.12,0.75,0.625,0
300.12,0.78125,0.625,0
300.12,0.8125,0.625,0
300.11,0.84375,0.625,0
300.11,0.875,0.625,0
300.11,0.90625,0.625,0
300.11,0.9375,0.625,0
300.11,0.96875,0.625,0
300.11,1,0.625,0
300.17,0,0.65625,0
300.17,0.03125,0.65625,0
300.17,0.0625,0.65625,0
300.17,0.09375,0.65625,0
300.17,0.125,0.65625,0
300.17,0.15625,0.65625,0
300.16,0.1875,0.65625,0
300.16,0.21875,0.65625,0
300.16,0.25,0.65625,0
300.16,0.28125,0.65625,0
300.15,0.3125,0.65625,0
300.15,0.34375,0.65625,0
300.15,0.375,0.65625,0
300.14,0.40625,0.65625,0
300.14,0.4375,0.65625,0
300.14,0.46875,0.65625,0
300.14,0.5,0.65625,0
300.13,0.53125,0.65625,0
300.13,0.5625,0.65625,0
300.13,0.59375,0.65625,0
300.13,0.625,0.65625,0
300.12,0.65625,0.65625,0
300.12,0.6875,0.65625,0
300.12,0.71875,0.65625,0
300.12,0.75,0.65625,0
300.12,0.78125,0.65625,0
300.12,0.8125,0.65625,0
300.12,0.84375,0.65625,0
300.12,0.875,0.65625,0
300.12,0.90625,0.65625,0
300.12,0.9375,0.65625,0
300.12,0.96875,0.65625,0
300.12,1,0.65625,0
300.18,0,0.6875,0
300.18,0.03125,0.6875,0
300.18,0.0625,0.6875,0
300.17,0.09375,0.6875,0
300.17,0.125,0.6875,0
300.17,0.15625,0.6875,0
300.17,0.1875,0.6875,0
300.16,0.21875,0.6875,0
300.16,0.25,0.6875,0
300.16,0.28125,0.6875,0
300.16,0.3125,0.6875,0
300.15,0.34375,0.6875,0
300.15,0.375,0.6875,0
300.15,0.40625,0.6875,0
300.14,0.4375,0.6875,0
